area,names,reviews
돈암동,스타벅스 길음역점, 매장이 단층이라 아주 넓진 않지만 노트북 좌석도 있고 대화하기에도 좋습니다   원두 구매 했습니다 일부는 그라인더에 분쇄해서 내 려 마시고 나머지는 그때그때 갈아서 커피향 느낄 려구 포장했습니다   자주오는  길음 스벅 혼자 커피마시고 하는곳 편안합니다 버터바랑 디카페인아메   짱  맛있다 화욜마다 들르 는 스벅   좋아요 푸른용헤이즐럿라떼 사진과 비쥬얼이 너무 다르잖아요       화욜마다 오게되는 스벅 오늘은 신메뉴 라떼   맛있네요 로스팅 원두커피가 필요해서 방문포장 했습니다    베로나 원두 구매했구요 새로운 커피 접하기도 했 습니다   딸기 아사이 리프레시  건딸기는 맛있는데 싸구려주스 맛이 나요  먹다보니 그럭저럭 맛있네요  친절하고 크고 좋아요  저녁때 케잌종류가 많이 없어요  시 이후라 푸드 할인을 받아서 좋았어요  따뜻한 아메리카노는 더 작은 사이즈도 있어서 커피 를 항상 다 못 마시는 저같은 사람들에게 좋은 것 같 습니다   샌드위치를 다 먹어버리고 리뷰를 쓰    푸른용 밀크티 마셨는데 그냥 클래식 밀크티랑 별차이가 없어요  오히려 푸른용폼 올라간게    원 비쌈  로스팅한 하우스블랜드  중간    로스팅한 원두 구 매하느라 방문  반정도는 그라인더에 갈아왔습니다    추가로 아메리카노 크리스마스 컬러 시    화욜마다 꼭 들르는 스벅  오늘은 뭔가 아쉬움이 남 네  커피도 그닥    그래도 커피한잔의 여유   친절하고 좋아요 따뜻한 아메리카노 사이즈업 버터바 길음스타벅스 넓고 편해요 딸의 선물 넘 즐거운 시간요 맛있게 먹었어요 스벅 매장에서 아메리카노만 마시다 오늘은  베로 나  인 로스팅 커피 구매했습다   다크 코코아                    다크 로스팅이 아닌 미디엄 로    남편이 좋아해서 가끔가요 겨울같은 날씨에요  올해 첫 토피넛라떼      퇴근길에 별다방에 잠깐 들렀어요 화욜마다 오는 일상   디카 아아랑 파이  맛있어요 조용하고 좋아요 맛있게 먹었어요 생일쿠폰으로 디카페인한쟌 버터바맛있어요 길음역점은 세번째오네   매장깔끔 스벅에서 오늘은 캡슐 커피 구매 했다가 로스팅원두 샀습니다   산패할지 몰라 일부만 갈아서 왔는데 집 안 가득 고소한 커피 향이 나네요  친절한 알    스벅 밀크티는 처음 마셔보네요 직원분이 친절해서 좋았어요  조용하고 이야기 하기 좋은곳    커피 열심히 마시고 하나 받았어요  오늘 호박전  꾸벼 올려 놓고 먹을 예정이에요 편한 분위기  좋아 좋아 오랜만에 라떼   안에도 넓으네요 직원분들도 친절합니다 토요일 오후 잠시 들렀는데 손님 많네요  잠시 휴식 좋아요 케이크가 재미있네요 스타벅스몰에서 보구 바로 스벅 길음역점으로 달려가 서 구매한 스탠너 보온병    스벅 텀블러를 너 무 좋아합니다  오래오래써도 보냉이 변함이    굿 오늘도 내일도 스벅없인 몬살아  시끄럽지만커피가맛있어어좋아요 오늘은 태풍때문에 조용히 좋네요     당충전 마음정리하기에 좋네요    운좋으면 서비스 디저트도 맛볼 수 있어요  감사합니당   스벅은 말이 필요없죠 좋은 기회라 텀블러 들고 뽈뽈   굿 여기 비교적 작고 콘센트도 적어요  직원도 적어서 피크타임때 좀 기다려야해요 커피와 케잌이 맛있어요 아침 일찍 들려본 길음점은 조용하고 차분한 분위기였어요  시원한 아아로 하루 시작합니다     편리하게 잘 이용할수있어요 좋아요 잠깐의휴식 좋아요 굿 좋아요 굿 좋아요 훌륭하네요    자주올게요 여러번 길을 건너 가야해서 자주 가게되진 않지만 커피는 맛있어요 역에서 길건너서 바로 있어서 방문했습니다  친절하고 좌석도 편해요 좋아요 좋아요  좋아요 좋아요 비오는날 라떼한잔 마시고왔어요 쿨라임 피지오는 첨 먹어보는뎅 맛있었어요    플래너 굿    화장실 냄새가 너무 나요  화장실 냄새 너무 나요  친절하시고  맛있어요  맛있어요    잠깐의힐링타임 좋아요 굿    굿 굿 화장실 냄새가 너무 나요  좋아용 매장이 넓고 얘기나누기 좋아요  좋아요   굿 얼음많이   퍼스널옵션 잘 챙겨주시네요  굿 굿 맛있어요 평일 오전 자리가 많아서 좋네요  굿 쾌적한 환경 최고 좋아요 비가와서인지 주말인데 자리가 많아 여유롭게 쉬다갑니다  굿 굿 무더위 시원하게 식히고 갑니다  길음역에서 멀지 않고 밖에서보단 넓어요  공부하는 학생들이 많이 대화 나누긴 좀 눈치 보이고  화장실이 좀 덜 깨끗했어요  음료맛있어요 매장도넓고 친절해요 신제품으료도 자주자와좋아요 스타벅스 좋아요   당근 케이크가 다시 나왔네요 직원들은친절하지는 않 아요 사람이 많아서 그런듯     굿 샌드위치 맛있네요  굿 굿 화장실은 공사가 시급합니다  굿 길음 역  새로나온  토피넛팡도르      원 굿 맛있어요    생일쿠폰이예요 센스짱  에어컨 온도도 적당하고 좋아요  공부하기 좋네요     길음 유일한 스벅 아이스가 최고    굿 굿 굿 굿   친절해요   커피 맛있어요 
돈암동,이디야커피 돈암아리랑점, 이디아커피 맛나죠   양도 적지 않고  사장님 항상 친절 하심요 텀블러에다가 후후후 천원 할인쿠폰과 함께 겨울엔 달달한 바닐라라떼   적당한 달콤함에 끊을수 없네요 춥지만  얼죽아 추운 겨울엔 핫초코 알바 언니 이쁘고 친절 사장님도 왕 친절하시고 늘 밝아서 좋음 추천합니다 사장님이 친절합니다 가성비 좋은 카페 고구마라떼 찐하고 맛있네요  이번 알바님 넘 친절하 세요   쿠폰 사용할줄 모르니 카운터 밖으로 나와서까 지 앱으로 하는 방법도 알려주셨네요   친절하    친절해요  아이스티 언제나 친절해요  친절해요 날씨가 습하면 에어컨  굿 친절해요  친절해요  사장님도 친절하시고 맛도좋아요 직원분 엄청 친절하시네요   오늘 커피는 쫌 싱거 웠 어요   라떼 마셨는데   아메리카노 마신 동생도 평소 보다 약하다고 하네요   사장님 항상 웃는얼굴로 맞아주셔서 넘 좋아요 사장님 친절하시고 음료도 맛나요  좋아요 손님들 나갈 때마다 사장님 이 테이블 닦고 정리하시는거 보고 넘 좋았어요  청결 굿굿 굿 화이트모카 단골매장이에요   여직원 불친절 굿 굿 좋 요 굿 가성비가 좋아요  굿 피곤한 이른 저녁   혼자 라떼 마시며 기분 내고 갑니다   사장님이 넘 친절하셔서 기분이 좋았어요 굿 수박이     로 들어가 맛있어요 좋아요 은근 매장이 넓습니다 얘기하기 좋네요 굿 맛있어요 맛있어요  친절하고좋아요 굿 맛있어요 친절해요 빵맛집 사장님 정말 좋고 친절하세요  좋아요 좋아요 굿굿좋아요 굿 좋아요 굿 굿 굿 굿 굿 달달함이 필요해서 마셨어요   굿 매장넓고 사장님 친절하시고 와이파이 잘터지고 좋아요 굿 굿 굿 굿굿 편안하고 앗도 좋아요 굿   굿 주차가 좋아 편안하게 자리갖고 나와도 좋아요  커피 맛도 좋지만 친절해요  굿 조용하고 시원하고 커피맛도 굿 굿 도서관 갔다가는 코스에요  사장님 정말 친절하세요  이런 곳이 대박나야해요  매번 테이크아웃하지만 나중엔 매장이용 할까봐요  굿 이디야커피 맛있어요 너무나 친절하신 사장님 엄청 친절하시고 커피도 맛있어요 자주 오는 곳이에요  조용히 이야기 나누기 좋아요 친절해요 이디아 바닐라라떼 진짜 맛나요   아리랑점 사장님  언제나 넘 친절하시고 매장도 깔끔해서 자주 들리게  되네요  남자 사장님   진짜 유쾌하고 친절하세요커피도 맛있어요 굿 굿 굿 굿 좋아요  굿 굿   굿 굿 굿 굿 굿 굿 굿 굿 굿 굿 좋아요 사장님 친절하세요 맛나게 마셨어요     좋아요 굿 좋아요 굿 굿 굿 굿 사장님이 너무 친절해요   사장님 너무 친절하시고 커피도 맛있어요   참새방앗간입니다   좋아요 좋아요 굿 친절해서 좋아요 친절해요 좋아요
돈암동,디저트 공작소, 초코덕후라 초코초코한 디저트들로 데려왔는데 다 너 무 맛있어요  다 맛있지만 특히 초코 티라미수 매력 터집니다  아껴 먹으려다 앉은 자리에서 흡입    외관도 귀엽고 다 징짜 맛있어요    학교 앞에 위치해 있어서 시험보고 방문했는데 학생인거 알아보시고 시 험 화이팅하라고 구겔호프 러스크 서비스 주셨    집 근처에 디저트 집 생겨서 넘 좋네용   메뉴 다양하게 먹어봤는데 다 맛있어요  앞으로 자주 먹을 예정입니당   디저트 넘 맛있어요  종류도 알차고 넘 이뻐요   구겔 호프 좋아하는데 미니라서 부담도 없고 맛도 다양해 서 선물하기로도 좋을것같아요    사장님도 친    구겔호프라는 디저트 겉은 바삭하고 속은 촉촉하니 내 입맛에는 딱 좋았어요  또 사먹을듯 합니다
돈암동,카페언덕, 사장님  친절하세요  재방문하고파요 플랜테리어라 아주 예쁘고 편안한 분위기 였어요  음료도 맛있었고 수제쿠키도 정말 맛있었어요 무엇보 다 사장님이 친절하시니 더욱좋네요  자주 방    좋 좋아요 커피맛도 넘 좋고 샌드위치도 맛있어요 분위기도 좋고 깔끔한 인테리어에 대화하기 넘 좋아요   얘기하기도 좋고 커피맛도 좋아요 좋아요 친절하고 음료도 맛있어요  좋아요 친절해요 좋아요 굿 여기 샌드위치 진짜 맛있어요   좋어요 커피도 맛있고 디저트도 맛있어요   강추요 좋아요 좋아요  샐러드도 맛있고 샌드위치가 너무 제 취향이었어요   바질페스토 바른 게 신의 한수였고 리코타치즈 맛있 네요   조용하고 음료맛나요 굿
돈암동,더텐, 항상 친절하시고 착실하십니다    커피맛이 좋아요   나름 단골로 자주가는 카페입니다 저만의 작은 카페 였으면 좋겠지만 요즘 갈 때마다 사람이 늘어가는 것 같네요 좋은 곳입니다 집중하기 참 좋아서 카    이번엔 에그타르트 냠냠남 아기 엄마들이 후딱 커피랑 빵 사먹기 좋네요    커피값도 착하고 빵도 맛있어요   팥빵 모예요    너무 맛있잖아요    진짜 깜짝놀랐어요 더 먹으려다가 참았어요    파니니 메뉴 전 버섯으로 주문 가무척 궁금하여 주문 했습니다     원이라는 가격에 이 정도 퀄리티의 음 식이라니 우선 놀랐고 맛도 좋습니다 한끼 해    말해모해요   최고쥬   아파트 단지 내에 이런 맛있는 카페가 있는지몰랐어요    년 만에 알게되었어요    빵 맛있어서 자주 오다가 살 찌고있어요    핫  시에 왔는데 에그타르트 완판   대신 치즈케이크 먹어요   역시나 맛있쥬 팥빵 기다리고 잇어요 사장님   너무 맛있었어요  아이가 스콘을 좋아해서 방문했어요 초코스콘이 품절 이라 버터스콘이랑 리얼망고라떼 주문했어요  직접  만든 스콘이라 더 맛있게 먹었어요  여기 소금    편안한 곳입니다  디저트가 별로 없어서 아쉽지만 커피가 저렴하고 맛있어요     커피도 디저트도 넘 맛있어요  음료가 저렴하고 너무 친절하세요  얼굴을 기억하시 고 음료를 자리까지 가져다주시는 서비스가 대단하세 요  트러플 샌드위치도 맛있구요  아이스 아메    이야기하기 좋은 분위기에요 여기 한성대 카페중에 가장 좋음  주차 좋치 음료 비싸지도 않지  인테리어 좋지 아주굿 분위기 좋은 동네 골목의 작은 카페 혼자서 음악 들으며 책 읽기 좋아요 오늘은 연유라떼 에그타르트    달달하니 맛나죠잉  자주가는곳이에요 커피도맛있고 과일음료도 맛있고 빵은 빨리안가면 구경도못해요   너무맛나요  포토존 친절도 작업하기 좋음 조용함 메뉴의 가격 맛 스콘 커피 모두 좋습니다 제 요즘 최애 카페에요 단골이 될 것 같습니다 남자 화장실만 조금 협소하네요  사장님이 친절하시고 에그타르트랑 스콘 맛있어요  디저트 사러 종종 방문해요   굿 요즘 자주 방문합니다 굿이에요 소금빵이랑 티라미슈 둘 다 넘 맛있어요  커피도 맛있지만 홀케익 강력추천 특별한 날 가격도 착하고 브랜드 빵집과는 차원이  다른 우리 가족 최애 케익맛집 굿 커피랑디저트가맛있어요 탈기라떼 완전 맛있어요  이 집 에그타르트는 꼭 먹어봐야해요    아늑하고 대화하기 좋으은곳 책읽기도 좋은곳 사장님 친절하시고  커피  디저트  인테리어 제 취향 항상 편하고   맛있습니다 좋아요 커피맛있고 대화하기좋은곳이예요 맛있어요 맛에 비해 가격이 너무 싼 곳     동네에서 제일 저렴한데 제일맛있어요   베이킹도 진심이신 사장님입니다 분위기도 좋고 디저트도 맛있어요 아지트각 굿 굿 굿 굿 작은 공간이어서 맛있는 커피 테크아웃 좋아요 굿 굿 굿 좋아요 굿 굿 좋아요   에그타르트와 밀크티 조합 정말 가성비 체고입니다    굿 조금 털털한 느낌의 서비스와 인테리어가 사촌 오빠네 카페에 온 기분이었어요    코지한 니낌  또 올게요   밀크티가 너무 단게 아쉽지만 시간 보내기 좋은 공간이네요  굿 굿 좋아요   친절하시고  커피랑 케이크 맛있어요 맛난 디저트랑 커피 밀크티 모두 좋았어요  담에도 또 올게요    사장님도 너무 친절하시고 음료와 직접만드시는 빵도 너무 맛있어욤     번창하세요     굿 굿 너너너너너너어어어어무 좋았어요 인테리어와 분위기최고  소금빵 넘 맛있어요   굿 굿 굿 소금빵맛있어요 사장님 친절 그 자체    파니니 너무 맛있고 커피 맛도 좋아요  쵝오카페   굿 빵 굿이예요  굿 빵진짜맛남 좋아요 좋아요 맛있어요   친절해요 소금빵이 있는데 수욜마다 만들어서 팔아요 커피도 저렴하구 좋아요 단골이에요 음료가 너무 맛나요 디카페인 종류가 다양해서 항상 갑니다 가성비 갑  맛있는 커피가 좋아요  자주가는 곳으로 찜 고메스콘이 너무 맛있어요 매장이 깔끔하고 아이스크림 가짓수가 많아서 좋아요    좋아요 지나치기만했는데 좋네용 종류많고 굿 좋아요 커피랑 음료들 맛있고 월수요일에 나오는 소금빵 최고에요  빵 맛있어요  맛있어여 굿 커피맛이 좋아요 친절하구요  굿 좋아요 맛있어요   넘 친절하시고 좋았어요 맛있어요 너무좋아요   굿
돈암동,카페다홍치마, 샐러드 아주 푸짐하고 맛있어요 에이드는 첨인데 상콤하니 맛있네요   자몽에이드로 갈증 해소   오늘도 고소한 녹차 주셔서 잘 마셨네요   야외 테이블도 보이고   미세먼지없고 날씨     조용해요  스콘도 서비스로주시고 음료맛나용  오늘 진짜 더웠는데 카페 안 넘 시원하네요   요즘 커 피 마시면 안되서 헛개두유라떼 마셨는데 고소하면서  부드러워 좋았네요  단호박 샌드위치 맛나요  재료들 신선하고 야채 가 득   플레인 음료 아드님이 원샷 할 정도로 맛있나봐 요    자주이용해요 로얄밀크티   적당한 달달함에 밀크티도 맛있네요    조용해서 책 읽기도 좋고     늘 편안한 분위기라 근처 가면 들리게 되네요   최고 아이스의 계절이 왔네요   시원한 라떼 한잔하며 조용히 독서하고 좋아요   샌드위치 맛있어요 분위기가 너무 좋고 새벽까지 열어 참 좋네요  오래 하셨으면 좋겠습니다  달달한 바닐라로 당충전   시원한 녹차 서비스로 갈증 해소요  메뉴가 다양해졌어요   떡볶이  샐러드도 있고 세트 로도 파는데 혼자와서 단품으로 먹었네요   케이준  샌드위치 야채 넘 신선하고 듬뿍 넣어주셔서 좋네요  커피가 참 맛나고 친절하시고 넘 좋아여  크림라떼    맛있어요 영화보며 달달한 바닐라한잔     고소한 라떼맛이 좋아 종종 들리네요   카페도 늘 청 결하고 항상 따뜻한 차를 주셔서 넘 좋아요   영수증  색상도 예뿌공   제가 메뉴판도 안 보고 카푸치노 주문 했는데 사장님 께서 없는 메뉴를 만들어 주셨네요   라떼 가격에 부 드러운 카푸치노를     커피빈도 고소하니 맛    좋아요 스콘도 맛있는데 쿠키도 맛나네요    좋아요 커피 맛있어요 셀러드가 너무 맛있어요  검은콩두유라떼도 너무 고소하네요   캬라멜 마끼아또   캬라멜 향이 장난아니네요   잔 향이 계속   달달함에 진한커피맛이 좋아요  단거  워낙 좋아하긴 한데 단맛 조금만 줄여주심 더     사장님 너무 친절하시고 너무 잘생기셨어요   크림라떼   크림이 제대로네요   미니붕어빵 쫀쫀하 니 맛나고 바닐라라떼도 고소하니 많이 달지 않아 좋 아요   친구엄마랑 아침 모닝커피타임하기 넘 좋은곳이예요    사장님 젊으신데 너무너무 친절하시공 카페 오픈 시간도  시  분 전 후라 아이학교 보내고 커피    이쉽게 사진은 못찍었네요    커피맛이좋아요  아직 은 카페홍보기간인지 서비스로 내주시는쿠키도 맛나 고 중간에 따뜻한 차도 주시는데 좋았습니다      항상 자주 찾아오는 카페  커피와 별도로 차  디저트 서비스가 감사합니다 아인슈페너 크림 최고네요   꾸덕하면서 부드럽고    커피도 고소하니   오늘은 아이스로 차 한잔을 주셨 어요   차 종류별로 주시는듯 한데 다 제취네요   인테리어이뻐요 굿 최고 라떼가 고소하니 맛나요   붕어빵 아침 대신 몇개 먹으니 든든하네요   카페가 넘 아득하니 편안한 분위기라 좋네요   넘 깔 끔하고 커피맛도 좋아요   서비스로 차를 한잔 주셨는 데 넘 고소하니 좋았어요   담엔 차로 주문해 봐    최고맛집요 헛깨라떼랑 패션후르츠에이드 마셨는뎅 넘 맛있었어 넘 급하게 마시느냐고 음료사진은 못찍었지만  분위 기도 좋고 사장님도 친절하시고 서비스로 주    굿 분위기좋아요 주택가 편안한 까페라 수다떨기 좋아요 조조보며 바닐라라떼 한잔 좋네요  스콘도 맛나고   커피도 맛있고 디저트도 맛있어요    주말에도 오픈이라 언제든 올수있어 좋네요 동네 주민으로 넘 만족하는 카페입니다  굿 굿 커피도 맛있고 서비스 케잌도 마니 주셨어요 좋아요 라떼 고소하니 맛있어요   커피는 별로지만 크로플이 맛있어요 두어번 갔는데 사장님 너무 친절하시고 쿠키도 진짜 맛있어요    스모어쿠키 달달하니 진짜 맛있어요   남 자친구도 맛있다고 하더라구요 커피에서도 약    가깝고 좋아요 나만 알고싶은 곳  음료를 마시다보면 현미녹차를 서비스로챙겨주셔요  사장님도 친절하시구요  커피 포장하러 왔는데 샹들리에 이쁘네요    주차 는 가게 앞 상가 주차장 이용하시면 되고 음료가 캔 형태로 나와서 차에서 먹기 편해요 아메리카노    친절해요  써비스도 좋아요   인테리어가 멋져용    포장만하다가 오늘은 먹고다려고왓어요   커피 찐맛집이에요    서비스도 챙겨주시고 사장님도 친절해요    굿 맛있어요 사진을 아쉽게도 못 찍었는데  노을 음료 너무 너무 맛 있어요     스 벅스 자몽허니블랙티 좋아하는 사 람으로서 여기 노을 음료가 더 맛있었어요         동네에 조용하게 있는 커피숍   매장이 깔끔하고 좋네요  음료도 맛있고요  매장 앞에서 샹들리에 보고 들어갔는데  예뻐요  좋아요 좋아요 커피 맛있었어요 커피와 음료 다 진하고 맛있네요 친절하시고 디저트도 맛나요 커피맛도 좋고 친절해요 샌드위치  샐러드 메뉴 생겨서 좋아요 좋아요 이상하게 빨리 먹게 되는 곳이네요  맛납니다  제주 바당 커피 먹으러 또 올께요   번창 하세요 싸장님       굿 오늘은 온커피 역시 신대륙발견  깔끔해서 좋아요 동네에 아주 멋진 카페가 생겼네요    노을 특히 맛있어요  좋아요 맛있어요 번창하세요   새로 생겨서 갔더니 커피가 맛있네요  단지내 쉴 공간이 생겨서 좋아요 여럿이 갔는데 넓직하고 좋네요  맛있어요  괜찮은 커피숍  인테리어도 멋지고 깔끔하고 친절하고 넘 좋네요 좋아요 좋아요 와우  커피짱 이럴수가 좋아요 굿 좋아요  좋아요  굿
돈암동,커피에반하다 돈암점 스마트 무인카페, 가격이 착해서 테이크아웃 하기 좋아요  로봇이 해주니 간단하고 편해요   로봇커피 괜찮아요 테이크아웃매장이라 빠르고 편해요 가성비 좋아요 진짜저렴하고 간편함 테이크아웃 하기 좋아요  아메리카노 또 오류가 났네요  개선이 필요할 듯 합니다  무인카페이고 로봇이 직접 만들어줍니다  음료 나오는데 얼마 걸리지 않아요  로봇작동으로 주문빠르고 편해요     원이라 부담없이 먹어요 원하는대로 주문하고 조용해서 좋아요 무인이라 기계가 내려줘요 무인커피점 저렴해서 좋아요 깔끔하고  용해요 커피저렴해서 좋아요 집 앞에 이런 무인카페가 있어 너무 좋네요 저렴해서 좋아요 가성비 구구웃 부담없이 즐겨요 저렴해서 매일 먹어요 가격이 착해서 좋아요  테이크아웃 하기 편리해요  굿국 아이스커피로 카페인 충전하며 하루시작합니다  아침 출근하기전에 시원하게 아 아로 충전하고 갑니다 커피맛이 괜찮아서 종종 사먹어요  가성비 좋아요 무인카페라서 편해요 무인커피숍이라 편해요 가성비 좋아요 기계가 움직여서 커피를 갖다주는 카페는 처음 이용해봐서 신기했어요 커피도 맛있었어용     가성비 굿 레몬딸기에이드는 반만 나오나봐요    라떼 맛있어요 굿굿 거의 매일 한잔쓰 가성비 좋아요 굿 카페라떼 맛있어요  최고 가성비 커피 가성비 굿 구우웃 가성비 굿 맛있어요 시원한커피 부담없이 마실수 있어 좋습니다 무인무인인데도 깨끗합니다 굿굿 굿 굿 음료가 다 괜찮아요  맛있어요 자주이용해요 자주 이용해요 자주 이용해요   좋아요 기계로 뽑아주는 커피 신기 좋아요 맛이 조금 아쉽 좋아요 로봇이 만들어주는 커피    신기하네요   구웃 굿   로봇시스템이 신기하고 놀라워요   기다리며 보는 재미가 있어요      깔끔합니다아    로봇이 만들어 주는 정량 커피   이용하기 편해요 가성비 굿   무인카페라 매우 편해요 굿 좋아요 굿 굿 굳 오후  시인데 아이스커피는 다 품절이라니요  굿 좋아요 좋아요 로봇이 커피를 주네요    좋아요 좋아요 좋아요 가성비 갑    좋아요 굿   좋아요 특별한 아메리카노 열심히 뽑아주는 기계 친구 얼음 컵도 미리미리 받아놓고 늦어도 괜찮아 천천히해 일 자리가 줄어드는것 같아 씁쓸하지만 커피 굿   로봇이 커피를내려주네요       좋아요 신기하더라구용 좋아요 좋아요 좋아요 로봇이 음료를 주는게 신기해요 컵이 불량이라 음료가 줄줄 샜어요 로봇이라 신기해요 굿 맛나요 좋아요   시간매장이라 편리해요 로봇이주는음료처음이예요  맛있었어요  커피맛은 괜찮은데   얼음이 너무 작고 조금밖에 맛과 가격 모두 잡은 가성비 맛집 테이크아웃 커피   예전보다 음료종류가 줄어 아쉬워요 좋아요  가성비짱 맛있어요 굿 좋아요 좋아요     굿 로봇카페    무인이라 편함 아메 천원 굿 굿 착한가격 가성비가 좋아요 첫방문 굿이에용  번째방문
돈암동,블래스 제빵소, 혼자 커피마시기 좋은 곳    아파트 상가 주차장 이용가능해 주차 편해요  빵도 있어 좋아요  언제나 친절해서 좋구요  빵 커피 프렌치토스트 다 맛있어요   좋은 재료 쓰셔서 자주 갑니다  자주 이용합니다 좋아요 아이스라떼 연하게 마셨는데 컵도 너무 이쁘구 맛있네요    저번엔 딸기케잌 먹고 오늘은 티라미수 먹어봤는데 둘 다 진짜 맛있어요    크로와상이 특히 맛있어요 조용하고 직원분이 친절합니다 너무너무 맛있어요  직원분도 친절해요    책상도 넓고 의자도 이쁜데 편해요   친구들이랑 와서 수다떨기 좋을 것 같아요 직접 구워주시는 에그타르트  빵  샌드위치 모두 맛있 네요  자리도 널찍하고 의자도 편해요  낡은 상가인데 화장실 리모델링이 되어 깨끗해서 너무 좋았어    맛나요 맛있고 좋네요 스콘이 묵직하다기보다 포슬해서 버터와 잼 발라먹기에 좋아요 굿 굿굿    좋아요 아보카도샐러드랑 아메리카노 세트 너무 맛있어용 자몽티두요  샌드위치 사러 종종 갑니다  샌드위치 다 팔렸어도 재 료 있으면 즉시 만들어주셔서 너무 좋습니다  샌드위 치 퀄리티가 너무 좋아서 다른데는 못가겠네요  오픈이벤트 중 친절하고 서비스도 최고     괜찮아요     가격대가 비싼편인데 그만큼의 맛은 아니에요    맛있음 맛있어요
돈암동,크로플각 동소문점, 친절하고 서비스로 하나 더 주셨어요  한신한진안에 있는곳 잠깐 먹고가기 좋네요 주문받고 만들어주는 남자분 손톱이 엄청 길어서 불결하게 느껴졌어요 크로플 맛있고 음료도 다양해서 좋아요  가격이 너무 비싸요    우선 주차가 너무 편해서 좋고 앉아서 먹을수 있는 곳 도 있어서 너무 좋았어요   음료가 캔으로 나와서 깔 끔해서 좋고  바삭한 크로플에 아낌없는 토핑    친절해요  음료가 맛있어요 퇴근하고 출출할때 따뜻하게 먹으니 완전 맛있어요   월  일까지  개를 구입하면  개 보너스   굿굿굿 굿     친구들이 크로플각 맛있다고 난리 난리여서 사 봤어요 진짜 맛있네요     종종 애용하겠습니다 굿  굿  아이들간식으로좋아요  맛도최고인데푸짐하기까지   오늘도잘먹었습니다     굿  버스에서 본  개 사면  개 더 주는 서비스를 찍어뒀 는데 못 찾아서 아쉬워 하고 있던 참에  개 더 주셔서 너무 감사했습니다   힘들게 일하고 오는 언니    굿  가격이 좀 비싼 듯 굿  음료도 맛있고 크로플이 특히 맛있네요  다음엔 다른 메뉴도 먹어봐야겠어요    학원가는길에 있어 자주 들리는데 맛있어서 아이가 너무 좋아합니다  덩달아 저까지 커피도     커피도 부드럽고 맛있어요  집근처에 맛있는 크로플 가게가 생겨서 너무 좋네요  가격도 저렴하고 맛도 좋아서 자주 올꺼 같네요  에고 내뱃살  동네에 디저트 맛집이 생겼네요  이렇게 예쁜 디저트 가 저렴하고 맛도 좋아서 부담없이 즐길수 있게 되었 네요 사장님도 친절하시네요  자주 찾게 될것    사장님 너무 친절하시고  크로플은 말이 필요 없이 너무 맛있어요    메뉴는다양한데 저렴한것같진않아요 맛있어요  맛은 있는데     간식가격이라고 하기에는 단가가 좀 쎄요   굿      맛있어요 굿 위에 올라가는 재료가 너무 차가워요  
돈암동,어반브릿지, 깨끗하고 깔끔해서 좋은 카페예요  가게가 많이 넓고 크진 않지만 아늑하고 편안한 느낌이고  사장님이 엄 청 친절하세요  커피 케이크도 맛있어요  케이    커피가 맛있어요  굿 단골카페 친절하고 맛있어요 애정하는 카페 맛있어요 맛있어요 맛있어요  내 애정 카페 좋아요 친절하시고 분위도 좋아요 괜찮아요     좋아요 굿 굿 굿 조아요 거의  년전에 왔다가 오랜만에 왔는데 아직도 아늑하니 좋더라구요    친절하시고 커피도 맛있어요 위에 복층 공간 너무 좋아요      굳국 좋아요 좋아요 좋아요 굳        친절하시고 넘 맛있어요 좋아요 맛있어요 음료맛있어요    친절해요 친절해요 우리 동네 커피 맛집 사장님도 친절하시고 커피도 맛있네요 좋아요 조아욤 좋아요 굿 우리 동네 어반브릿지 커피도 맛있고 케잌도 맛나요 사장님 왕 친절하셔요 좋아요 조아요 맛있었습니다 좋아요    커피 맛 있어요     친절해요 친절에 습니다 맛있어요 가끔 정릉오면 가는곳이에요  친절하고 음료도 맛있어용 아포카토 존맛탱구리 사장님 친절    사장님이 친절하시고 좋아요  자주 가요  사장님이 친절하시고 공간도 좋고 음료맛도 좋은데 다만 학교근처라 하교시간쯔음이면 엄청 시끄러워요     커피향이 너무 좋고 맛있어요  모카프라페도 젛아여  사장님이 친절하셨어용 커피맛도 괜찮습니당 정말 맛있었습니다 굿굿 커피 맛 괜찮네요     친절한 사장님  민트초코 존맛  
